,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C02-NUSVR--nu=0.05-C=0.1,C03-NUSVR--nu=0.25-C=10,C04-NUSVR--nu=0.05-C=0.1,C05-NUSVR--nu=0.75-C=0.1,C06-NUSVR--nu=0.5-C=10,C07-NUSVR--nu=0.05-C=0.1,C08-NUSVR--nu=0.05-C=0.1,C09-NUSVR--nu=0.75-C=0.5,C10-NUSVR--nu=0.25-C=10,T01-NUSVR--nu=0.25-C=10,T02-NUSVR--nu=0.05-C=10,T03-NUSVR--nu=0.25-C=0.1,T04-NUSVR--nu=0.75-C=0.1,T05-NUSVR--nu=0.15-C=0.1,T06-NUSVR--nu=0.75-C=1,T07-NUSVR--nu=0.05-C=0.1,T08-NUSVR--nu=0.75-C=0.1,T09-NUSVR--nu=0.75-C=0.1,T10-NUSVR--nu=0.5-C=0.75
hematopoietic stem cell,0.0,0.0,0.0,0.0,0.0,0.04130930731765725,0.0,0.008479804588639327,0.004209383876861378,0.0,0.003075202082800078,0.0,0.002570534604185671,0.022143836348466388,0.0,0.0,0.036959880647731966,0.0,0.0,0.02149513717329823,0.05685800719399728,0.0,0.0
innate lymphoid cell,0.016341672877500067,0.016341672877500067,0.016341672877500067,0.016341672877500067,0.002018537467756366,0.038531369501707734,0.0,0.0,0.0,0.0,0.0,0.05741493711889857,0.04105381131322911,0.11775516468889059,0.0,0.061697281442395044,0.0,0.019668019443387304,0.1546521041694103,0.011818969096198832,0.048536397578698806,0.0,0.0
macrophage,0.0,0.0,0.0,0.0,0.00547470285705865,0.0,0.005839294222236239,0.03517063821784355,0.03569805149323494,0.05137872482678468,0.0,0.044023247157514975,0.008469539974740538,0.0,0.00436254671076632,0.05695924334073965,0.05858133449305226,0.01620232060286794,0.0,0.0,0.033601864609201594,0.03620238070537937,0.0
mast cell,0.0,0.0,0.0,0.0,0.020228581546582344,0.03016184792595706,0.020981485386295698,0.026870326913842165,0.22164113680845798,0.0005757336868157143,0.0,0.0,0.008467836873084248,0.05708597903585233,0.0,0.0,0.0,0.0,0.01580503479651274,0.06490228790239462,0.009299464145367914,0.001131111643202452,0.14360539131529734
mature conventional dendritic cell,0.04622036571271258,0.04622036571271258,0.04622036571271258,0.04622036571271258,0.02347952914507889,0.013597110610091223,0.015505696958303587,0.019801266229611234,0.01587542349487983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021186119535095454
monocyte,0.002144240488698009,0.002144240488698009,0.002144240488698009,0.002144240488698009,0.0027062981095921663,0.016437546820503118,0.060598696389028386,0.0,0.0,0.050146054414422304,0.0004915369625385748,0.03155022253030112,0.03114175177645665,0.006187491786058266,0.03716413674992227,0.0,0.0,0.009952282466019641,0.009723098354074007,0.0,0.0,0.0,0.0
myeloid progenitor,0.0,0.0,0.0,0.0,0.04679949088283731,0.0,0.0,0.0,0.0001517226059200008,0.0,0.0016163916427232704,0.07517903304143689,0.015954485925430355,0.0,0.0,0.05086491918757381,0.0,0.014206185591619666,0.015014655636132484,0.0,0.04894942923444567,0.06430283465064503,0.012668294377418442
neutrophil,0.0,0.0,0.0,0.0,0.0,0.008736698627663748,0.07605865627367134,0.0009047706467421417,0.005214314241242412,0.0021631354155402164,0.0,0.0,0.0,0.0,0.0,0.0008333385476278676,0.0,0.09098916484423301,0.0,0.026947667387037397,0.0,0.027127102235799328,0.005431169413084787
nk cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0152472341438595,0.0002791727286232294,0.0,0.0,0.0,0.016918284619499305,0.036488339722079585,0.0,0.048024830881423876,0.0,0.0,0.022379700605996884,0.003333800019728351,0.007103373805180776,0.022414264832411112,0.0,0.0
plasma cell,0.04405312692278168,0.04405312692278168,0.04405312692278168,0.04405312692278168,0.0,0.008560485991287883,0.002152209023752104,0.0,0.026014379619955487,0.0,0.0,0.004610822325737943,0.0,0.0,0.0,0.0,0.04042221769211544,0.0,0.0,0.0,0.018059274226064913,0.016675594539130447,0.04291642244535345
plasmablast,0.0,0.0,0.0,0.0,0.028276127384152402,0.0057129751334133875,0.00738660008095078,0.0,0.0,0.012114460846593235,0.0,0.0003437090167542921,0.058722671746438755,0.04727993112667355,0.07509162298580759,0.04993282879760754,0.029282825080839528,0.0,0.07038811198908153,0.0,0.0,0.024832827487031108,0.029525610162649575
platelet,0.000794908376391863,0.000794908376391863,0.000794908376391863,0.000794908376391863,0.0,0.0,0.008020173485647038,0.18337808182015897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2074615534752526,0.09022458339878911,0.0,0.0,0.16782553842353662,0.0,0.0014288698795333259
t cell,0.0,0.0,0.0,0.0,0.001002342152232525,0.0,0.0,0.002857815143629394,0.06548094110303818,0.0,0.0,0.0,0.0,0.0,0.014307429255734316,0.0,0.028510687352339397,0.19451923143175306,0.0,0.004675158477024248,0.005168194773471534,0.012262275490261577,0.06791148685317477
thymocyte,0.00636803815734505,0.00636803815734505,0.00636803815734505,0.00636803815734505,0.001103548548309423,0.0,0.0,0.034866802608479935,0.0,0.0,0.0,0.030354780557241095,0.06653080020019922,0.038180352123045,0.03042061239746659,0.02747843375453512,0.0,0.0,0.09317926988968098,0.01629915720887603,0.0,0.0,0.0
endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003990427669625649,0.003152321185006153,0.07074045581846247,0.0,0.0,0.0,0.0071725281178251585,0.04232287617891508,0.0,0.0,0.0,0.0,0.0,0.027427423820268197,0.0,0.0
r,-0.018514537606963147,-0.018514537606963147,-0.018514537606963147,-0.018514537606963147,0.6040646486556932,-0.03212624621410532,0.144655405613987,0.0169475368823452,-0.0021247519577815704,0.050838523803901296,0.19878528840702253,-0.021714268614082453,-0.035561301785882515,-0.015796612182974092,-0.04344473996245371,-0.008449247005791109,0.03229264906022797,0.07603280535224646,-0.03944433513765155,0.5680826760604003,0.04863293538200707,-0.022024678386426626,-0.03173298975716808
rmse,1.2462619737492937,1.2462619737492937,1.2462619737492937,1.2462619737492937,0.8012382817748849,1.2774176046664008,1.2173515437942493,1.263451250267782,1.2838059688248733,1.311756536863425,1.2196781307438234,1.3498183792356797,1.3936413950798845,1.3488459826057866,1.3475641384253287,1.3323707635767528,1.2282652940451766,1.1520187054936837,1.3057015412214965,0.8382773019899004,1.244864027397671,1.3095076084137829,1.4120630752404415
